sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R7-1-1-8n,Bus Lane End,R7-1-1-8n - Bus Lane End,No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,-,Bus Lane End sign design plan Published 15 Jun 2023 PDF 178.13 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-8n.gif?itok=b8zQBy9N,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-8n.pdf,Original PDFs/r7-1-1-8n.pdf,r7-1-1-8n-bus-lane-end
r7-12,x (m) Ahead,R7-12 x(m) Ahead,Yes,Yes – available .,NA,"AS1742.12 Bus, Transit, Tram and Truck Lanes",,-,xxx (m) Ahead sign design plan Published 15 Jun 2023 PDF 206.37 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-12.gif?itok=j5Kcp5_o,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-12.pdf,Original PDFs/r7-12.pdf,r7-12-xm-ahead
R7-2,Ahead,R7-2 - Ahead,Yes,Yes – available .,NA,"AS 1742.9 (Bicycles) AS 1742.12 (Bus, Transit and Truck Lanes)",,-,Ahead - r7-2 sign design plan Published 15 Jun 2023 PDF 183.41 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-2.gif?itok=l5ZzbjO5,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-2.pdf,Original PDFs/r7-2.pdf,r7-2-ahead
T6-5-1n_VMS,Follow Me No Overtaking VMS Panel (Temporary Traffic Management Use Only),T6-5-1n_VMS - Follow Me No Overtaking VMS Panel (Temporary Traffic Management Use Only),No,Yes - available.,NA,Traffic Control at Work Sites (Technical Manual) 6.9.1,,-,T6-5-1n - Follow Me No Overtaking (Temporary Traffic Management Use Only) Published 16 Jun 2025 PDF 67.39 KB,,,,t6-5-1nvms-follow-me-no-overtaking-vms-panel-temporary
R7-240-1n,Overhead Transit Lane (T2) (Single Period - times as required),R7-240-1n Overhead Transit Lane (T2) (Single Period - times as required),No,Yes – available .,ARR 156,"AS1742.12 Bus, Transit, Tram & Truck Lanes",Delineation (Roads and Maritime Services ),Cl.1 white reflectorised 'T2' on Cl.1 red reflectorised patch. Use only approved times and days.,Overhead Transit Lane (T2) (Single Period - times as required) - r7-240-1 sign design plan Published 15 Jun 2023 PDF 59.45 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-240-1.gif?itok=gA3oTobx,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-240-1.pdf,Original PDFs/r7-240-1.pdf,r7-240-1n-overhead-transit-lane-t2-single-period-times
R7-240n,Overhead Transit Lane (T2) (Single Period - times as required),R7-240n Overhead Transit Lane (T2) (Single Period - times as required),No,Yes – available .,NSW Road Rules 156,"AS1742.12 Bus, Transit, Tram & Truck Lanes",Delineation (Roads and Maritime Services ),Cl.1 white reflectorised 'T2' on Cl.1 red reflectorised patch. Use only approved times and days.,Overhead Transit Lane (T2) (Single Period - times as required) - r7-240 sign design plan Published 15 Jun 2023 PDF 53.44 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-240.gif?itok=p4yK5_9q,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-240.pdf,Original PDFs/r7-240.pdf,r7-240n-overhead-transit-lane-t2-single-period-times
R7-235n,Transit Lane (T3 - repeater) (Am & Pm - times as required),R7-235n Transit Lane (T3 - repeater) (Am & Pm - times as required),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation (RTA) - Section 9 Situation Diagram R7-235n is used with any permissible parking sign.,Cl.1 white reflectorised 'T3' on Cl.1 red reflectorised patch. Only approved times and days to be used.,Transit Lane (T3 - repeater) (Am & Pm - times as required) sign design plan Published 15 Jun 2023 PDF 77.12 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-235.gif?itok=lQdHJ7oM,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-235.pdf,Original PDFs/r7-235.pdf,r7-235n-transit-lane-t3-repeater-am-pm-times-as
R7-5,Overhead Arrow (Supplementary Plate),R7-5 - Overhead Arrow (Supplementary Plate),Yes,Yes – available .,NSW Road Rule 92 and 152,AS 1742.9 (Bicycles),"AS 1742.12 (Bus, Transit and Truck Lanes)",Use R7-5B with R7-1-4B ONLY.,Overhead Arrow (Supplementary Plate) sign design plan Published 15 Jun 2023 PDF 209.87 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-5.gif?itok=2VRKvR-w,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-5.pdf,Original PDFs/r7-5.pdf,r7-5-overhead-arrow-supplementary-plate
T6-5,Pilot Vehicle Do Not Overtake,T6-5 - Pilot Vehicle Do Not Overtake,Yes,Yes - available.,NA,AS1742.3 Traffic Control for Works On Roads,,-,Pilot Vehicle Do Not Overtake sign design plan Published 15 Jun 2023 PDF 173.52 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-5.gif?itok=bBnfZtIv,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-5.pdf,Original PDFs/t6-5.pdf,t6-5-pilot-vehicle-do-not-overtake
TM9-7-1n(C),Cyclists Ahead (Symbolic) (MMS Insert - To Be used on Multi Message Sign panels Only),TM9-7-1n(C) - Cyclists Ahead (Symbolic) (MMS Insert - To Be used on Multi Message Sign panels Only),No,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-7-1n(C) - Cyclists Ahead (Symbolic) (MMS Insert - To Be used on Multi Message Sign Panels Only) Published 9 Apr 2025 PDF 66.75 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-7-1n%28C%29.png?itok=AAI8wYHQ,,,tm9-7-1nc-cyclists-ahead-symbolic-mms-insert-to-be
TM9-4n(B),Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),TM9-4n(B) - Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),No,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-4n(B) - Event on Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only) Published 9 Apr 2025 PDF 65.49 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-4n%28B%29.png?itok=1lR59N3P,,,tm9-4nb-event-on-side-road-mms-insert-to-be-used-on
TM9-4(C),Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),TM9-4(C) - Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),Yes,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-4(C) - Event on Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only) Published 9 Apr 2025 PDF 64.56 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-4%28C%29.png?itok=5RAaBQD3,,,tm9-4c-event-on-side-road-mms-insert-to-be-used-on
TM9-1(A),Event Ahead (MMS Insert - To Be used on Multi Message Sign Panels Only),TM9-1(A) - Event Ahead (MMS Insert - To Be used on Multi Message Sign Panels Only),Yes,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-1(A) - Event Ahead (MMS Insert To be used on Multi Message Sign Panels Only) Published 8 Apr 2025 PDF 44.5 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-1%28A%29.png?itok=7qBpGZKO,,,tm9-1a-event-ahead-mms-insert-to-be-used-on-multi
TM9-5B(L),Event On Side Road (Left Arrow) (MMS Insert - To Be used on Multi Message Sign panels Only),TM9-5B(L) - Event On Side Road (Left Arrow) (MMS Insert - To Be used on Multi Message Sign panels Only),Yes,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-5B(L) - On Side Road (Left Arrow) (MMS Insert - To Be used on Multi Message Sign Panels Only) Published 9 Apr 2025 PDF 65.41 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-5B%28L%29.png?itok=5CJr8_ij,,,tm9-5bl-event-on-side-road-left-arrow-mms-insert-to-be
TM9-4n(A),Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),TM9-4n(A) - Event On Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only),No,Yes - available.,NA,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Work Sites (Technical Manual),Multi Message Signs (MMS) may be used for worksites on Transport for NSW roads. Conditions of use and further information is provided in Traffic Control at Work Sites (Technical Manual) Multi Message Insert - To Be used on Multi Message Sign panels ONLY,TM9-4n(A) - Event on Side Road (MMS Insert - To Be used on Multi Message Sign Panels Only) Published 9 Apr 2025 PDF 64.92 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/2025/TM9-4n%28A%29.png?itok=Xo1OvGvz,,,tm9-4na-event-on-side-road-mms-insert-to-be-used-on
R7-6-4,This Lane (symbolic arrow) (Supplementary Plate),R7-6-4 - This Lane (symbolic arrow) (Supplementary Plate),Yes,Yes – available .,-,AS 1742.2 (Devices),,For use with R6-11 (Low Clearance) or R6-12 (Clearance),This (symbolic arrow) Lane (Supplementary Plate) sign design plan Published 15 Jun 2023 PDF 163.05 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-6-4.gif?itok=hCEMG948,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-6-4.pdf,Original PDFs/r7-6-4.pdf,r7-6-4-lane-symbolic-arrow-supplementary-plate
R7-7-1,Transit Lane (T2),R7-7-1 Transit Lane (T2),Yes,Yes – available .,-,"AS1742.12 Bus, Transit, Tram & Truck Lanes",,-,Transit Lane (T2) - r7-7-1 sign design plan Published 15 Jun 2023 PDF 282.38 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-7-1.gif?itok=81RTMaKz,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-7-1.pdf,Original PDFs/r7-7-1.pdf,r7-7-1-transit-lane-t2
R7-7-2,Transit Lane (T3),R7-7-2 Transit Lane (T3),Yes,Yes – available .,-,"AS1742.12 Bus, Transit, Tram & Truck Lanes",,-,Transit Lane (T3) - r7-7-2 sign design plan Published 15 Jun 2023 PDF 275.81 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-7-2.gif?itok=ABC-95G_,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-7-2.pdf,Original PDFs/r7-7-2.pdf,r7-7-2-transit-lane-t3
T8-2(R),Pedestrians (Right Arrow),T8-2(R) - Pedestrians (Right Arrow),Yes,Yes - available.,NA,AS1742.3,,-,Pedestrians (Right Arrow) - t8-2_r sign design plan Published 15 Jun 2023 PDF 184.81 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t8-2_r.gif?itok=4BbCZOCH,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t8-2_r.pdf,Original PDFs/t8-2_r.pdf,t8-2r-pedestrians-right-arrow
T8-1,Pedestrians Watch Your Step,T8-1 - Pedestrians Watch Your Step,Yes,Yes - available.,NA,AS1742.3,,For details please refer to AS 1743.,Pedestrians Watch Your Step - t8-1 sign design plan Published 15 Jun 2023 PDF 188.58 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t8-1.gif?itok=1-X6ztmH,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t8-1.pdf,Original PDFs/t8-1.pdf,t8-1-pedestrians-watch-your-step
T8-2(L),Pedestrians (Left Arrow),T8-2(L) - Pedestrians (Left Arrow),Yes,Yes - available.,NA,AS1742.3,,-,Pedestrians (Left Arrow) - t8-2_l sign design plan Published 15 Jun 2023 PDF 184.32 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t8-2_l.gif?itok=845vMgcY,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t8-2_l.pdf,Original PDFs/t8-2_l.pdf,t8-2l-pedestrians-left-arrow
T6-5-1n,Follow Me No Overtaking,T6-5-1n - Follow Me No Overtaking,No,Yes - available.,NA,AS1742.3 Traffic Control for Works On Roads,,-,T6-5-1n - Follow Me No Overtaking Published 16 Jun 2025 PDF 72.8 KB,,,,t6-5-1n-follow-me-no-overtaking
T6-6,Pilot Vehicle In Use,T6-6 - Pilot Vehicle In Use,Yes,Yes - available.,NA,AS1742.3 Traffic Control for Works On Roads,Traffic Control At Worksites (Technical Manual),-,Pilot Vehicle In Use sign design plan Published 15 Jun 2023 PDF 162.95 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-6.gif?itok=XZdpo2mQ,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-6.pdf,Original PDFs/t6-6.pdf,t6-6-pilot-vehicle-use
T8-3,Use Other Footpath,T8-3 - Use Other Footpath,Yes,Yes - available.,NA,AS1742.3,,For details please refer to AS 1743.,Use Other Footpath - t8-3 sign design plan Published 15 Jun 2023 PDF 178.77 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t8-3.gif?itok=BFYDlqlG,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t8-3.pdf,Original PDFs/t8-3.pdf,t8-3-use-other-footpath
T8-4,Footpath Closed,T8-4 - Footpath Closed,Yes,Yes - available.,NA,Roads and Maritime Services Traffic Control at Worksites,,For details please refer to AS 1742.3,Footpath Closed - t8-4 sign design plan Published 15 Jun 2023 PDF 176.9 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t8-4.gif?itok=9wbz6x15,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t8-4.pdf,Original PDFs/t8-4.pdf,t8-4-footpath-closed
